"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV523" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Paraphoma" "s__radicina"
"ASV526" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Allophylaria" "s__subliciformis"
"ASV527" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV528" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" NA NA NA
"ASV529" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" "s__irregularis"
"ASV530" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__indicum"
"ASV531" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Allophaeosphaeria" "s__cytisi"
"ASV532" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__concentricum"
"ASV534" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Trichopezizella" NA
"ASV535" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Cadophora" NA
"ASV536" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Ascobolaceae" "g__Ascobolus" NA
"ASV537" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" NA
"ASV539" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Gigasporales" "f__Gigasporaceae" "g__Gigaspora" "s__rosea"
"ASV540" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Mucoraceae" "g__Mucor" "s__circinelloides"
"ASV541" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__indicum"
"ASV542" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV545" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" "s__irregularis"
"ASV546" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Veronaea" "s__japonica"
"ASV547" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Rhynchogastremataceae" "g__Papiliotrema" NA
"ASV548" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV549" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" NA NA
"ASV550" "k__Fungi" "p__Rozellomycota" NA NA NA NA NA
"ASV551" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Cistella" NA
"ASV553" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV554" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" NA
"ASV556" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Magnaporthales" "f__Magnaporthaceae" "g__Gaeumannomyces" "s__radicicola"
"ASV557" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV559" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Cylindrocarpon" NA
"ASV560" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Marasmiaceae" "g__Marasmius" NA
"ASV562" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Articulospora" "s__proliferata"
"ASV563" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Stephanosporaceae" NA NA
"ASV565" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" NA
"ASV566" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" NA NA
"ASV567" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariaceae" "g__Auricularia" NA
"ASV568" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Lectera" "s__longa"
"ASV569" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Torulaceae" "g__Torula" "s__hollandica"
"ASV570" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV572" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV573" "k__Fungi" "p__Ascomycota" "c__Laboulbeniomycetes" "o__Pyxidiophorales" "f__Pyxidiophoraceae" "g__Pyxidiophora" "s__arvernensis"
"ASV574" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__concentricum"
"ASV575" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV576" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Lecanicillium" "s__lecanii"
"ASV577" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__armeniacum"
"ASV578" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV581" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV582" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV583" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" NA NA
"ASV584" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Exidiaceae" NA NA
"ASV585" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Cunninghamellaceae" "g__Gongronella" "s__butleri"
"ASV586" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" "s__curvuloides"
"ASV587" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Pseudopithomyces" "s__rosae"
"ASV588" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV589" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraphaeosphaeria" NA
"ASV591" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"ASV592" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" "s__metachromatica"
"ASV593" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV594" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Cunninghamellaceae" "g__Cunninghamella" "s__elegans"
"ASV595" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV597" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" "g__Zopfiella" NA
"ASV598" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV599" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Cantharellales_fam_Incertae_sedis" "g__Sistotrema" NA
"ASV600" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Sarocladium" "s__zeae"
"ASV601" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" NA NA
"ASV602" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV603" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Diaporthales" "f__Diaporthaceae" "g__Diaporthe" NA
"ASV604" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV605" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Striatibotrys" "s__eucylindrospora"
"ASV607" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" "s__brevicompactum"
"ASV608" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV609" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" "s__irregularis"
"ASV610" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Paraphoma" "s__chrysanthemicola"
"ASV612" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Diaporthales" "f__Diaporthaceae" "g__Phaeocytostroma" "s__ambiguum"
"ASV614" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV615" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV616" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" NA NA NA
"ASV617" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lophiostomataceae" "g__Biappendiculispora" NA
"ASV618" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV619" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV620" "k__Fungi" "p__Chytridiomycota" "c__Rhizophlyctidomycetes" "o__Rhizophlyctidales" "f__Rhizophlyctidaceae" "g__Rhizophlyctis" "s__rosea"
"ASV621" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV622" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" NA
"ASV623" "k__Fungi" "p__Chytridiomycota" "c__Chytridiomycetes" "o__Chytridiales" "f__Chytridiaceae" NA NA
"ASV624" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Dominikia" NA
"ASV625" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" "g__Neohelicomyces" "s__hyalosporus"
"ASV626" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" "s__irregularis"
"ASV627" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Entolomataceae" "g__Entoloma" NA
"ASV628" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Chaetosphaeronema" NA
"ASV629" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__alpina"
"ASV630" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Sordariales_fam_Incertae_sedis" "g__Conlarium" NA
"ASV631" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" "s__glutinoides"
"ASV632" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Glomerellaceae" "g__Colletotrichum" NA
"ASV636" "k__Fungi" "p__Chytridiomycota" "c__Spizellomycetes" "o__Spizellomycetales" NA NA NA
"ASV637" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Chalara" "s__heteroderae"
"ASV639" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Myrothecium" NA
"ASV640" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Ceratobasidium" NA
"ASV641" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV642" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Melanommataceae" "g__Herpotrichia" "s__australis"
"ASV643" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" NA NA
"ASV644" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Annulatascales" "f__Annulatascaceae" "g__Dictyosporella" NA
"ASV645" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" NA NA
"ASV646" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" "g__Diversispora" "s__epigaea"
"ASV647" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Niessliaceae" "g__Eucasphaeria" NA
"ASV649" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Chaetothyriaceae" NA NA
"ASV650" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV651" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" "g__Cirrenalia" NA
"ASV652" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Tremellodendropsidales" NA NA NA
"ASV653" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__indicum"
"ASV654" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Arthrobotrys" NA
"ASV655" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" NA NA NA
"ASV656" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Lipomycetaceae" "g__Lipomyces" "s__tetrasporus"
"ASV657" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lentitheciaceae" "g__Keissleriella" "s__poagena"
"ASV658" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Mycosphaerellaceae" "g__Cercospora" NA
"ASV659" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__aggregatum"
"ASV660" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Leptospora" NA
"ASV661" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV662" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" "s__metachromatica"
"ASV663" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusicolla" "s__septimanifiniscientiae"
"ASV664" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" "s__intestinacea"
"ASV665" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Aspergillus" NA
"ASV667" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV668" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Psathyrellaceae" "g__Psathyrella" "s__candolleana"
"ASV669" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" "s__hamatum"
"ASV670" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariaceae" "g__Auricularia" NA
"ASV671" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__tetrastratosum"
"ASV672" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Cunninghamellaceae" "g__Gongronella" "s__butleri"
"ASV674" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" "g__Tubeufia" "s__helicomyces"
"ASV675" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" NA NA
"ASV676" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" NA
"ASV677" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Onygenales" NA NA NA
"ASV678" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Cylindrocarpon" NA
"ASV679" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV681" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Bolbitiaceae" "g__Conocybe" "s__velutipes"
"ASV682" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" "s__dimennae"
"ASV683" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricomycetes_ord_Incertae_sedis" "f__Agaricomycetes_fam_Incertae_sedis" "g__Xenasmatella" "s__christiansenii"
"ASV684" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariaceae" "g__Auricularia" NA
"ASV685" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV687" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__indicum"
"ASV688" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV689" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" NA NA NA
"ASV691" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV692" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" NA NA
"ASV693" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" NA NA
"ASV695" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV696" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" NA NA
"ASV697" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Hyalorbilia" NA
"ASV698" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV700" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Exophiala" "s__equina"
"ASV701" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Cunninghamellaceae" "g__Gongronella" "s__butleri"
"ASV702" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV704" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"ASV706" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" NA NA NA
"ASV707" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" NA
"ASV708" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Articulospora" "s__proliferata"
"ASV710" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV711" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV713" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Cistella" NA
"ASV714" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Stagonosporopsis" NA
"ASV715" "k__Fungi" "p__Glomeromycota" NA NA NA NA NA
"ASV716" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" "f__Archaeosporaceae" NA NA
"ASV717" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV718" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV721" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" NA NA
"ASV722" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Myrothecium" NA
"ASV724" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Sporidiobolales" "f__Sporidiobolaceae" "g__Sporobolomyces" "s__roseus"
"ASV725" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV727" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" "g__Cirrenalia" "s__iberica"
"ASV728" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV729" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Ostropales" "f__Stictidaceae" "g__Neofitzroyomyces" "s__nerii"
"ASV732" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" NA NA
"ASV733" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Entolomataceae" "g__Clitopilus" NA
"ASV734" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" NA NA NA
"ASV736" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV738" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" NA
"ASV739" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV740" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Claroideoglomeraceae" "g__Claroideoglomus" NA
"ASV741" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizaceae" NA NA
"ASV743" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" "s__tephrensis"
"ASV745" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Clavicipitaceae" "g__Metacordyceps" "s__chlamydosporia"
"ASV746" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Typhulaceae" "g__Typhula" NA
"ASV748" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Corticiales" "f__Corticiaceae" "g__Limonomyces" NA
"ASV749" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Stemphylium" "s__beticola"
"ASV750" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Thyridariaceae" "g__Roussoella" NA
"ASV752" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Cladophialophora" NA
"ASV753" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" "f__Mrakiaceae" "g__Tausonia" "s__pullulans"
"ASV754" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Claroideoglomeraceae" "g__Claroideoglomus" NA
"ASV756" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" NA
"ASV757" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Trichocomaceae" "g__Talaromyces" "s__sayulitensis"
"ASV758" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Gibberella" NA
"ASV759" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Sporormiaceae" "g__Preussia" "s__flanaganii"
"ASV760" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lentitheciaceae" NA NA
"ASV761" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV763" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Conioscyphales" "f__Conioscyphaceae" "g__Conioscypha" "s__bambusicola"
"ASV765" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV766" "k__Fungi" "p__Mucoromycota" "c__Endogonomycetes" "o__Endogonales" "f__Endogonaceae" "g__Endogone" NA
"ASV767" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV768" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Lachnum" NA
"ASV769" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Thanatephorus" "s__cucumeris"
