OTU_ID	taxonomy
ASV_253	;Orbilia;NA
ASV_254	;Podospora;NA
ASV_255	;Phomatospora;biseriata
ASV_256	;Filobasidium;NA
ASV_257	;Coprinopsis;friesii
ASV_258	;Glomus;tetrastratosum
ASV_259	;Neosetophoma;NA
ASV_260	;Waitea;circinata
ASV_261	;Remispora;stellata
ASV_262	;NA;NA
ASV_263	;Heydenia;NA
ASV_264	;NA;NA
ASV_265	;Trichometasphaeria;NA
ASV_266	;Rhizophagus;irregularis
ASV_267	;Zopfiella;NA
ASV_268	;Chloridium;NA
ASV_269	;Operculomyces;laminatus
ASV_271	;Leptospora;NA
ASV_272	;Coprinopsis;friesii
ASV_273	;Sarocladium;strictum
ASV_275	;Funneliformis;mosseae
ASV_276	;Septoglomus;viscosum
ASV_277	;NA;NA
ASV_278	;Piniphoma;wesendahlina
ASV_279	;Thelonectria;rubrococca
ASV_280	;Rhizophagus;irregularis
ASV_281	;Acremonium;persicinum
ASV_282	;NA;NA
ASV_283	;NA;NA
ASV_285	;Gigaspora;NA
ASV_286	;NA;NA
ASV_287	;NA;NA
ASV_288	;Operculomyces;laminatus
ASV_289	;Pleurophragmium;NA
ASV_290	;Coprinopsis;friesii
ASV_292	;Efibula;americana
ASV_293	;Glomus;tetrastratosum
ASV_296	;NA;NA
ASV_297	;Mortierella;NA
ASV_299	;Pleurophoma;NA
ASV_300	;Rhizophlyctis;NA
ASV_301	;Dictyosporella;NA
ASV_303	;Karstenia;macer
ASV_305	;Phaeosphaeria;NA
ASV_308	;Septoglomus;viscosum
ASV_310	;Rhizophagus;irregularis
ASV_311	;Aureobasidium;pullulans
ASV_312	;Cadophora;gregata
ASV_313	;Mortierella;elongata
ASV_314	;Podospora;multipilosa
ASV_316	;Exophiala;bonariae
ASV_317	;Trichoderma;NA
ASV_318	;Mrakia;frigida
ASV_319	;Bipolaris;zeicola
ASV_320	;Septoglomus;viscosum
ASV_321	;Coniochaeta;verticillata
ASV_322	;Glomus;indicum
ASV_324	;NA;NA
ASV_325	;Paraphaeosphaeria;NA
ASV_326	;Minimedusa;polyspora
ASV_328	;Crocicreas;NA
ASV_330	;Tetracladium;apiense
ASV_331	;NA;NA
ASV_332	;Phaeosphaeria;NA
ASV_333	;Efibula;americana
ASV_334	;NA;NA
ASV_335	;Massariosphaeria;roumeguerei
ASV_336	;Periconia;macrospinosa
ASV_337	;Operculomyces;laminatus
ASV_338	;NA;NA
ASV_339	;Phaeosphaeria;NA
ASV_341	;Leptosphaeria;sclerotioides
ASV_342	;Septoglomus;viscosum
ASV_343	;Schizothecium;NA
ASV_344	;Talaromyces;NA
ASV_345	;Trichopezizella;NA
ASV_346	;Macrophomina;phaseolina
ASV_347	;NA;NA
ASV_348	;Bisporella;NA
ASV_349	;Podospora;intestinacea
ASV_350	;Schizothecium;NA
ASV_351	;Devriesia;pseudoamericana
ASV_352	;Pseudogymnoascus;NA
ASV_353	;NA;NA
ASV_354	;NA;NA
ASV_356	;Fusarium;armeniacum
ASV_358	;Bipolaris;NA
ASV_359	;Mortierella;ambigua
ASV_360	;Auricularia;NA
ASV_361	;NA;NA
ASV_362	;NA;NA
ASV_363	;NA;NA
ASV_364	;Dinemasporium;NA
ASV_365	;Myrothecium;NA
ASV_366	;Marasmius;apatelius
ASV_367	;NA;NA
ASV_368	;Paratrimmatostroma;kunmingensis
ASV_369	;Glomus;indicum
ASV_370	;Cylindrocarpon;NA
ASV_371	;NA;NA
ASV_372	;Phaeosphaeria;NA
ASV_373	;NA;NA
ASV_374	;Glomus;NA
ASV_375	;NA;NA
ASV_376	;Phialocephala;humicola
ASV_377	;NA;NA
ASV_378	;Rhizopus;arrhizus
ASV_380	;NA;NA
ASV_382	;NA;NA
ASV_383	;Dinemasporium;NA
ASV_384	;Gibellulopsis;piscis
ASV_385	;NA;NA
ASV_386	;NA;NA
ASV_388	;NA;NA
ASV_389	;Psathyrella;candolleana
ASV_390	;NA;NA
ASV_391	;NA;NA
ASV_392	;Dinemasporium;morbidum
ASV_393	;NA;NA
ASV_395	;Glomus;tetrastratosum
ASV_396	;Rhizophlyctis;rosea
ASV_397	;Zopfiella;lundqvistii
ASV_398	;Plenodomus;lindquistii
ASV_399	;Vishniacozyma;victoriae
ASV_400	;Pluteus;NA
ASV_401	;Fusarium;solani
ASV_402	;NA;NA
ASV_403	;Pseudocoleophoma;bauhiniae
ASV_405	;Exophiala;NA
ASV_406	;Exophiala;salmonis
ASV_407	;Acremonium;rutilum
ASV_408	;Monocillium;mucidum
ASV_409	;Orbilia;NA
ASV_410	;Funneliformis;mosseae
ASV_411	;Dictyosporella;NA
ASV_413	;Dictyosporella;NA
ASV_415	;Rhizophydium;NA
ASV_416	;Oliveonia;pauxilla
ASV_417	;Diaporthe;NA
ASV_418	;Hymenoscyphus;menthae
ASV_419	;Mycena;NA
ASV_420	;Alternaria;rosae
ASV_421	;NA;NA
ASV_422	;Cystofilobasidium;macerans
ASV_423	;Endophragmiella;constricta
ASV_424	;Striaticonidium;brachysporum
ASV_425	;Neosetophoma;samararum
ASV_427	;Glomus;indicum
ASV_428	;Gigaspora;rosea
ASV_429	;Operculomyces;laminatus
ASV_431	;Myrothecium;NA
ASV_432	;Wongia;NA
ASV_434	;Mortierella;alpina
ASV_435	;Badarisama;sojae
ASV_437	;NA;NA
ASV_438	;Powellomyces;NA
ASV_439	;Glomus;aggregatum
ASV_440	;NA;NA
ASV_441	;Tetracladium;NA
ASV_442	;Tetracladium;NA
ASV_443	;Dactylaria;mitrata
ASV_444	;Dominikia;NA
ASV_445	;Entoloma;NA
ASV_447	;NA;NA
ASV_449	;Vishniacozyma;carnescens
ASV_450	;Chloridium;NA
ASV_451	;Botryotrichum;atrogriseum
ASV_452	;Mycena;NA
ASV_453	;NA;NA
ASV_455	;Auricularia;NA
ASV_457	;Rhizophagus;irregularis
ASV_458	;Talaromyces;ucrainicus
ASV_459	;NA;NA
ASV_460	;Gibberella;tricincta
ASV_462	;NA;NA
ASV_463	;Glomus;NA
ASV_464	;Myrothecium;NA
ASV_465	;Gibberella;tricincta
ASV_466	;NA;NA
ASV_467	;NA;NA
ASV_470	;Cyphellophora;clematidis
ASV_471	;Conioscypha;bambusicola
ASV_472	;Ceratobasidium;NA
ASV_473	;Schizothecium;curvuloides
ASV_474	;Olpidium;brassicae
ASV_476	;Exophiala;salmonis
ASV_478	;NA;NA
ASV_479	;Lachnum;NA
ASV_481	;NA;NA
ASV_482	;NA;NA
ASV_484	;Rhizophlyctis;NA
ASV_485	;Flagelloscypha;minutissima
ASV_486	;NA;NA
ASV_487	;Curvularia;intermedia
ASV_488	;Sarocladium;bactrocephalum
ASV_489	;Dictyosporella;NA
ASV_490	;Schizothecium;NA
ASV_491	;Glomus;indicum
ASV_492	;Chalara;pseudoaffinis
ASV_493	;NA;NA
ASV_494	;NA;NA
ASV_500	;Aspergillus;NA
ASV_501	;Chalara;NA
ASV_502	;Pseudogymnoascus;pannorum
ASV_503	;Conioscypha;NA
ASV_504	;Glomus;NA
ASV_506	;NA;NA
ASV_507	;NA;NA
ASV_508	;NA;NA
ASV_509	;Alternariaster;bidentis
ASV_510	;Mortierella;elongata
ASV_511	;NA;NA
ASV_512	;Herpotrichia;australis
ASV_514	;NA;NA
ASV_515	;Auricularia;NA
